Cells,siRNA,Baloxavir,Replicate,NELFB,IFNB1,HA,L32
A549,NTC,No,1,23.61884741,22.02843946,17.11822303,21.83004635
A549,NTC,No,1,23.78240774,22.06187534,17.33823687,21.78807992
A549,NTC,No,2,23.5584685,21.64957175,16.86602293,21.59667805
A549,NTC,No,2,23.74335491,21.59151358,17.15826141,21.96911105
A549,NTC,No,3,23.51279525,22.47244179,17.46296243,21.93709988
A549,NTC,No,3,23.61011594,22.25560636,17.58304822,21.90359957
A549,NELFB,No,1,29.06703473,18.86313838,14.91010013,21.94577676
A549,NELFB,No,1,29.13148368,18.8198949,14.82871053,21.95806728
A549,NELFB,No,2,28.52353265,18.83936701,14.94768883,21.86360847
A549,NELFB,No,2,28.71646908,18.94256989,14.9778331,21.67407533
A549,NELFB,No,3,28.51719259,18.96820038,14.93571083,21.71769105
A549,NELFB,No,3,28.26037924,18.90831081,14.62214725,21.74203584
A549,NTC,Yes,1,23.58509889,29.20037979,24.18683652,21.63764721
A549,NTC,Yes,1,23.58732504,29.08245359,24.22288531,21.67435688
A549,NTC,Yes,2,23.3537007,28.80558319,23.95238356,21.32041554
A549,NTC,Yes,2,23.375265,28.71919443,24.00061523,21.53284478
A549,NTC,Yes,3,23.89832104,29.52418908,23.78484146,21.6114694
A549,NTC,Yes,3,23.85608376,28.96920772,23.94680487,21.79666657
A549,NELFB,Yes,1,28.09901783,27.85764021,23.86988692,21.83685784
A549,NELFB,Yes,1,28.18094305,28.0805032,23.6637626,21.80336565
A549,NELFB,Yes,2,28.25585729,27.27444852,23.57551008,21.9346826
A549,NELFB,Yes,2,28.30923933,27.79024813,23.62942889,22.00502783
A549,NELFB,Yes,3,28.74880212,28.01271749,23.50908634,22.01667847
A549,NELFB,Yes,3,28.39377044,27.95055698,23.32600973,21.75259891
RKO,NTC,No,1,23.51218065,32.30045717,17.88516958,22.10387069
RKO,NTC,No,1,23.59290401,33.97550105,17.87251642,22.05593661
RKO,NTC,No,2,23.33771749,32.55573393,17.76277943,21.78959847
RKO,NTC,No,2,23.2771714,33.76343057,17.61851276,21.67596617
RKO,NTC,No,3,22.86396256,34.35458773,17.49451456,21.62899026
RKO,NTC,No,3,22.71441443,31.85289736,17.27040704,21.54510107
RKO,NELFB,No,1,28.46598156,29.07184902,14.58366005,21.71321282
RKO,NELFB,No,1,28.746701,29.35473573,14.68980216,21.96934026
RKO,NELFB,No,2,28.43837648,28.78553176,15.14130059,22.28363733
RKO,NELFB,No,2,28.39567903,28.30897175,15.02284316,22.14762204
RKO,NELFB,No,3,27.97363851,29.01035879,15.04177531,22.13154845
RKO,NELFB,No,3,27.92475975,29.09167063,15.1272531,21.98665566
RKO,NTC,Yes,1,23.24883834,33.31300839,24.31617568,21.85693454
RKO,NTC,Yes,1,23.31795354,33.37673273,24.52882668,21.4615374
RKO,NTC,Yes,2,23.01656553,33.93660085,24.36213529,21.52391335
RKO,NTC,Yes,2,23.02049217,33.29737553,24.34959718,21.52884843
RKO,NTC,Yes,3,23.18540495,32.60638523,24.56886832,21.61616614
RKO,NTC,Yes,3,23.18144529,NaN,24.49357028,21.65724146
RKO,NELFB,Yes,1,27.8820054,34.06976962,24.03317977,22.02464297
RKO,NELFB,Yes,1,27.85447727,32.65045819,23.80941037,21.88985249
RKO,NELFB,Yes,2,27.62629907,35.73896135,24.02990182,21.93966411
RKO,NELFB,Yes,2,28.08702584,39.57406125,23.68213921,21.66453927
RKO,NELFB,Yes,3,27.8660816,32.99980562,23.87884436,21.81496216
RKO,NELFB,Yes,3,27.86429227,NaN,23.90900158,21.90129997
